Variable,F,significance,η²,η²p ,Bfincl
Hangover condition,0.857,.372,0.024,0.062,0.372
Emotional valence,1.915,.167,0.035,0.128,0.271
Hangover condition * emotional valence a,0.815,.454,0.020,0.059,0.132
